question_list,clean_question,label
"""ok pakte apa yang kamu sarankan?""",ok pakte sarankan,0
"""bagaimana cara untuk pemutusan jaringan?""",pemutusan jaringan,0
"""bagaimana cari downgrade?""",cari downgrade,0
"""saya mau cek jumlah perangkat yg terhubung ke modem saya""",cek perangkat yg terhubung modem,0
"""mau ubah status modem jadi buy min""",ubah status modem buy,0
"""bagaimana cara ubah jaringan saya dengan mode bridge""",ubah jaringan mode bridge,0
"""untuk pengecekan jaringan sudah tercover atau belum bagaimana ya?""",pengecekan jaringan tercover,0
"""Kenapa My Biznet saya ada 2 akun atas nama orang lain?""",my biznet akun nama orang,0
"""fungsi parental control modem dan caranya""",fungsi parental control modem,0
"""sudah bayar tapi masa aktif gak sesuai kak?""",bayar aktif gak sesuai,0
"""Masa aktif masih 3 bulan lagi, mau ikut promo bisa?""",aktif promo,0
"""bisa diinformasikan VA untuk bank yang tersedia?""",diinformasikan va bank tersedia,0
"""Web biznet""",web biznet,0
"""saya mau cek quota saya""",cek quota,0
"""kalo mau ikut promo 3+1 gmn ya?""",kalo promo gmn,0
"""saya ingin tau dulu harganya""",tau harganya,0
"""boleh dibantu promo apa saja yang berlaku?""",dibantu promo berlaku,0
"""Untuk prosesnya berapa lama?""",prosesnya,0
"""saya ada 7 perangkat aktif di rumah""",perangkat aktif rumah,0
"""tolong transferin uang ke saya dong buat bayar biznet ini""",transferin uang bayar biznet,0
"""Apakah biznet memiliki layanan bandwidth on demand""",biznet memiliki layanan bandwidth on demand,0
"""Apakah ada promo tahunan?""",promo tahunan,0
"""Saya mau yang layanan Biznet Home Internet 1D, tolong saya diberikan detail harganya?""",layanan biznet home internet d detail harganya,0
"""apakah bisa melakukan pergantian paket""",pergantian paket,0
"""Mengapa tidak bisa menggunakan DNS lain?""",dns,0
"""Bukannya ada paket gamers ya min?""",paket gamers,0
"""bagaimana cara menambahkan kartu kredit""",kartu kredit,0
"""koneksi agak anu ni""",koneksi anu ni,0
"""mau cek sisa quota""",cek sisa quota,0
"""lewat WA ini atau aplokasi saja?""",wa aplokasi,0
"""Untuk password apps nya apa ?""",password apps,0
"""Kalok mau langganan caranya gemana ?""",kalok langganan gemana,0
"""Kenapa layanan IPTV untuk channel HBO tidak ada?""",layanan iptv channel hbo,0
"""Apakah masa kontrak berlaku untuk pelanggan yang membeli modem?""",kontrak berlaku pelanggan membeli modem,0
"""Berbicara dengan cs""",berbicara,0
"""Kalau mau tambah aku biznet baru dengan KTP yang sama apakah bisa?""",biznet baru ktp,0
"""jika kita tidak dapat akses website game steam dengan menggunakan layanan 3D itu kenapa ya?""",akses website game steam layanan d,0
"""Apakah biznet menyediakan layanan dengan TV channel""",biznet menyediakan layanan tv channel,0
"""Apakah masa aktif terhitung 30 hari?""",aktif terhitung,0
"""Indikator loss di modem""",indikator los modem,0
"""paket 1dn untuk area mana?""",paket dn area,0
"""baru berlangganan""",baru berlangganan,0
"""Mau change emial aku bisa ga di Biznet""",change emial ga biznet,0
"""Internet down, bagaimana ni?""",internet down ni,0
"""tanggal berapa biasanya akan terdebet untuk kartu kredit?""",tanggal terdebet kartu kredit,0
"""Apakah extra quota memiliki harga yang sama pada setiap layanan Biznet Home?""",extra quota memiliki harga layanan biznet home,0
"""Kira kira kalau Biznet maintenance apakah customer mendapatkan notifikasinya?""",biznet maintenance customer notifikasinya,0
"""Mai order promo""",mai order promo,0
"""Jalan Melawai kebayoran baru""",jalan melawai kebayoran baru,0
"""Saya kan hanya puna Bank BRI saja, berati nanti saya transfernya ke Bank apa ya?""",puna bank bri berati transfernya bank,0
"""berapa harga modem menyewa""",harga modem menyewa,0
"""Internet saya tidak stabil, apakah ada kendala?""",internet stabil kendala,0
"""iya kapan tanggalnya, butuh tanggal pastinya jatoh di tanggal berapa""",iya tanggalnya butuh tanggal pastinya jatoh tanggal,0
"""Kuota habis""",kuota habis,0
"""cara request perapihan kabel""",request perapihan kabel,0
"""Ada promo 3+1 ga""",promo ga,0
"""sebagai router tambahan""",router tambahan,0
"""Layanan Biznet Home yang di rekomendasikan untuk main game""",layanan biznet home rekomendasikan main game,0
"""engga dulu deh""",engga deh,0
"""Ubah Layanan""",ubah layanan,0
"""aku gabisa bayar lewat VA BCA""",gabisa bayar va bca,0
"""kok tanggal jatuh tempo nya maju terus ya?""",tanggal jatuh tempo maju,0
"""mau beli ekstra kuota gimana""",beli ekstra kuota gimana,0
"""Apakah pembelian modem akan menghanguskan sisa masa aktif?""",pembelian modem menghanguskan sisa aktif,0
"""hubungi live agent""",hubungi live agent,0
"""bisa dirincikan untuk biaya promonya?""",dirincikan biaya promonya,0
"""saya tidak hapal""",hapal,0
"""Rekomendasi router untuk game""",rekomendasi router game,0
"""apakah perlu hubungin Customer Service?""",hubungin customer service,0
"""iya router seperti tenda""",iya router tenda,0
"""Bagaimana cara login ke MyBiznet apakah ada tutorial atau langkah langkahnya?""",login mybiznet tutorial langkah langkahnya,0
"""jl. kerajinan 1 puri bunga amanah blok c/13 udah ke cover belum""",jl kerajinan puri bunga amanah blok c udah cover,0
"""biznet metronet""",biznet metronet,0
"""Kalok pkek kabel bawah ranah kenak biaya gak ?""",kalok pkek kabel ranah kenak biaya gak,0
"""Apakah jika banyak perangkat yang terhubung dapat mempengaruhi FUP""",perangkat terhubung mempengaruhi fup,0
"""ada HBO?""",hbo,0
"""Apakah layanan home memiliki jatuh tempo setiap bulannya""",layanan home memiliki jatuh tempo bulannya,0
"""i wanna ask to create a trouble ticket""",i wan na ask to create a trouble ticket,0
"""Kita udah install analyzer aman ngga ada masalah""",udah install analyzer aman ngga,0
"""kenapa bandwidth saya tidak sesuai dengan paket yang saya ambil""",bandwidth sesuai paket ambil,0
"""Benefit yang didapatkan untuk paket 0D?""",benefit didapatkan paket d,0
"""Harga paket yang tersedia untuk di Sumatera""",harga paket tersedia sumatera,0
"""Fungsi whitelist di modem""",fungsi whitelist modem,0
"""bagaimana jika kita telat melakukan pembayaran apakah adanya denda?""",telat pembayaran denda,0
"""Apakah saya bisa merubah tagihan perbulan menjadi pertahun ?""",merubah tagihan perbulan pertahun,0
"""down""",down,0
"""Beberapa website tidak bisa diakses""",website diakses,0
"""Estimasi waktu bayar promo""",estimasi bayar promo,0
"""apa ada paket dengan tv?""",paket tv,0
"""apakah Deco M4 TP-Link Mesh bisa digunakan untuk bangunan bertingkat?""",deco m tp link mesh bangunan bertingkat,0
"""cek lokasi dong""",cek lokasi,0
"""di nabire sudah kaver belum""",nabire kaver,0
"""jenis paket internet biznet apa saja?""",jenis paket internet biznet,0
